GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-hello-world,default,App,0,19,0,0,0,5,0,2,0,2
java-hello-world,default,Calculator,0,11,0,0,0,3,0,3,0,3
